,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
0,001979,招商蛇口,0.51,,,23.76,,277981.69,,,03-06
1,603727,博迈科,0.45,,,18.0,,6794.52,73.24,,10-31
2,603959,百利科技,0.59,-28.92,,46.72,0.4,9993.23,7.18,,04-26
3,603922,金鸿顺,0.92,,4.79,22.85,0.56,9727.47,,,04-01
4,603380,易德龙,0.51,,,22.04,0.9,1168.18,,,04-01
5,603701,德宏股份,0.62,-25.3,,19.77,0.85,3665.76,-25.18,,03-28
6,300693,盛弘股份,,,,44.3,,1450.65,,,03-25
7,002888,惠威科技,,,1.95,28.42,0.55,2650.45,,,03-18
8,002791,坚朗五金,1.09,60.29,,29.73,0.74,18592.86,60.25,,03-10
9,300484,蓝海华腾,1.02,,2.32,51.92,0.63,3983.57,39.36,,03-09
10,002792,通宇通讯,0.44,-45.68,4.4,11.02,0.63,5312.16,-27.02,,03-09
11,300506,名家汇,,,1.46,46.38,-0.54,4244.45,42.34,,03-07
12,002789,建艺集团,1.17,,5.42,31.12,0.87,6615.11,133.36,,02-23
13,603882,金域医学,,,,27.6,,4408.55,,,02-19
14,603520,司太立,0.4,-46.67,3.67,11.46,1.15,3578.46,-47.04,,02-18
15,002790,瑞尔特,0.81,,2.45,39.89,0.72,9765.03,27.14,,02-17
16,603617,君禾股份,0.31,,2.88,14.61,1.47,2349.55,,,02-05
17,300501,海顺新材,0.85,66.67,4.12,23.04,0.66,3405.81,72.09,,01-22
18,603608,天创时尚,0.57,,,21.87,0.3,11976.14,16.4,,01-22
19,300500,启迪设计,1.17,,4.71,28.68,1.47,5256.65,-46.33,,01-21
20,002788,鹭燕医药,0.94,40.3,4.64,22.66,-0.34,9051.39,42.26,,01-21
21,601900,南方传媒,0.39,11.43,,19.3,0.44,25664.65,11.54,,01-20
22,300499,高澜股份,,,,21.42,1.02,3540.43,10.51,,01-20
23,603377,东方时尚,0.52,-57.38,,71.94,3.4,19143.99,30.24,,01-20
24,603757,大元泵业,,,,20.26,0.84,3972.51,,,01-08
25,603813,原尚股份,0.31,,2.23,14.67,0.47,1830.2,,,01-08
26,002890,弘宇股份,0.42,,25.28,14.52,6.69,2093.75,,,01-08
27,601949,中国出版,0.21,,1.4,15.0,0.02,25976.61,,,01-08
28,603980,吉华集团,0.32,,2.98,25.73,-0.19,12584.3,,,01-08
29,300667,必创科技,0.46,,1.88,28.09,0.09,1621.15,,,01-08
30,300655,晶瑞股份,,,3.21,8.53,0.75,1334.93,,,01-08
31,002827,高争民爆,,,,37.14,1.74,4666.71,,,01-08
32,603458,勘设股份,0.32,,3.28,11.62,0.21,2988.32,,,01-08
33,300666,江丰电子,,,0.91,6.15,0.09,753.31,,,01-08
34,603326,我乐家居,,,,42.92,,2373.35,,,01-08
35,300660,江苏雷利,1.17,,,24.92,0.94,8897.96,,,01-08
36,601619,嘉泽新能,0.01,,,2.19,0.03,1183.49,,,01-08
37,603260,合盛硅业,,,2.01,2.42,-0.18,2612.96,,,01-08
38,603916,苏博特,1.8,,,29.65,1.0,10778.64,,,12-25
39,300604,长川科技,,,,17.2,,474.28,,,12-25
40,603286,日盈电子,0.55,,1.8,36.1,0.92,2770.55,,,12-25
41,300651,金陵体育,0.35,,2.54,7.94,0.61,1065.67,,,12-25
42,002909,集泰股份,,,1.61,29.92,0.16,3320.51,,,12-25
43,300658,延江股份,,,1.69,46.0,0.27,1609.78,,,12-25
44,300703,创源文化,,,3.66,32.27,1.16,2336.76,,,12-25
45,603648,畅联股份,0.42,,1.58,29.58,0.68,7769.28,,,12-25
46,603329,上海雅仕,,,,9.05,0.38,3454.49,,,12-25
47,300680,隆盛科技,0.5,,1.97,28.88,0.4,2242.08,,,12-25
48,300642,透景生命,,,,21.56,,1361.81,,,12-25
49,300690,双一科技,0.36,,3.42,11.82,0.34,1867.46,,,12-25
50,603933,睿能科技,,,2.58,18.51,-0.33,3186.82,,,12-25
51,002889,东方嘉盛,0.69,,,14.86,-0.02,6854.4,,,12-25
52,300649,杭州园林,0.59,,2.73,24.31,0.52,2838.08,,,12-25
53,300641,正丹股份,0.07,,1.25,5.51,0.16,1448.08,,,12-25
54,603809,豪能股份,1.2,,,25.08,0.75,9573.61,,,12-25
55,603359,东珠景观,0.66,,3.14,26.27,-0.17,10170.71,,,12-25
56,300554,三超新材,,,,9.95,,615.49,,,12-25
