,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
0,002733,雄韬股份,,,,,,1999.5,27.65,,11-13
1,300567,精测电子,,,,,,261.2,,,11-05
2,603767,中马传动,,,,,,2031.94,,,10-16
3,601579,会稽山,0.2,,2.53,7.45,,5887.43,,,08-28
4,601828,美凯龙,,,,,,36177.01,,,08-23
5,600959,江苏有线,0.07,,,2.12,,16111.78,,,07-31
6,002831,裕同科技,,,,,,3010.89,,,07-20
7,300339,润和软件,0.21,,4.55,4.76,0.02,1234.22,,,07-17
8,002691,冀凯股份,0.11,,,4.61,0.17,1623.94,,,07-13
9,603111,康尼机电,0.14,,,10.06,-0.01,2941.89,,,07-13
10,002687,乔治白,0.13,,4.45,2.75,-0.34,967.14,,,07-12
11,603056,德邦股份,,,,,,8432.78,,,07-11
12,300336,新文化,0.25,,3.21,8.03,-0.49,1784.92,,,07-09
13,300335,迪森股份,0.14,,2.56,5.49,-0.1,1432.87,,,07-09
14,300334,津膜科技,0.09,,2.46,3.7,-0.53,764.52,,,07-04
15,300593,新雷能,,,,,,-108.0,,,07-02
16,002686,亿利达,0.2,,3.88,5.06,-0.01,1357.94,,,07-02
17,300333,兆日科技,0.28,,2.92,9.99,0.26,2334.25,,,06-27
18,002905,金逸影视,0.07,,2.16,3.24,0.61,865.84,,,06-27
19,300332,天壕环境,0.04,,1.97,1.97,-0.02,923.3,,,06-27
20,300331,苏大维格,0.12,,3.82,3.18,-0.25,555.82,,,06-27
21,300330,华虹计通,0.11,,2.39,4.63,-0.65,648.29,,,06-18
22,300329,海伦钢琴,0.15,,3.39,4.43,-0.28,737.15,,,06-18
23,300328,宜安科技,0.1,,2.82,3.61,0.06,839.11,,,06-18
24,300327,中颖电子,0.07,,2.47,2.74,-0.31,640.48,,,06-12
25,300326,凯利泰,0.31,,2.77,11.98,0.08,1197.52,,,06-12
26,002684,猛狮科技,0.26,,6.31,4.29,0.27,1053.31,,,06-11
27,002683,宏大爆破,0.13,,2.51,5.1,0.07,2121.0,,,06-11
28,002682,龙洲股份,0.14,,4.74,3.05,0.37,1712.82,,,06-11
29,002685,华东重机,0.0,,1.88,0.1,-0.02,29.49,,,06-11
30,300324,旋极信息,0.18,,3.98,4.61,-0.95,752.63,,,06-07
31,300322,硕贝德,0.12,,2.23,5.47,-0.16,831.69,,,06-07
32,002679,福建金森,-0.05,,1.93,-2.33,-0.72,-469.08,,,06-04
33,002681,奋达科技,0.12,,3.79,3.3,0.08,1385.81,,,06-04
34,002680,长生生物,0.47,,4.0,11.68,0.46,2822.35,,,06-04
35,300320,海达股份,0.23,,5.37,4.28,-0.71,1167.48,,,05-31
36,300325,德威新材,0.16,,5.26,3.04,-0.08,963.32,,,05-31
37,600025,华能水电,,,,,,-1216.99,,,05-31
38,300323,华灿光电,0.18,,4.82,3.88,0.34,2752.08,,,05-31
39,002678,珠江钢琴,0.12,,2.14,6.49,0.0,4989.14,,,05-29
40,002677,浙江美大,0.15,,2.33,6.43,-0.25,2178.13,,,05-24
41,002676,顺威股份,0.2,,3.54,5.83,-0.31,2405.81,,,05-24
42,002675,东诚药业,0.43,,3.78,11.28,0.04,3503.49,,,05-24
43,300319,麦捷科技,0.12,,2.95,4.24,-0.27,489.16,,,05-22
44,300321,同大股份,0.27,,7.42,3.75,-1.36,910.31,,,05-22
45,300317,珈伟股份,0.17,,2.3,,-0.42,1800.14,,,05-10
46,300316,晶盛机电,0.82,,6.19,,-0.15,8179.26,,,05-10
47,300315,掌趣科技,0.09,,1.91,4.74,0.03,1088.01,,,05-10
48,300312,邦讯技术,0.23,,3.74,6.28,-1.3,1825.5,,,05-07
49,300314,戴维医疗,0.34,,3.08,,0.14,2039.59,,,05-07
50,002674,兴业科技,0.14,,3.41,4.19,-0.09,2517.25,,,05-04
51,002673,西部证券,0.06,,3.24,1.78,0.02,5703.59,,,05-02
52,603123,翠微股份,,,,,,3788.7,,,05-02
53,600782,新钢股份,-0.19,-290.0,5.99,-3.07,-0.24,-26029.9,-290.44,,04-28
54,600053,九鼎投资,0.0,350.0,1.8,0.1,0.24,78.83,497.38,,04-28
55,600801,华新水泥,0.01,-98.0,8.3,0.06,0.17,433.4,-95.71,,04-28
56,600121,郑州煤电,0.02,-41.21,3.15,0.61,-0.36,1160.52,-41.09,,04-28
57,600516,方大炭素,0.06,-58.8,2.78,2.02,-0.22,7097.01,-58.82,,04-28
58,600196,复星医药,0.18,38.46,5.24,3.39,0.01,33522.51,32.77,,04-28
59,600250,南纺股份,-0.15,-2080.52,0.53,-25.38,-0.77,-3946.28,-2092.37,,04-28
60,600754,锦江股份,0.14,10.69,6.92,2.07,0.14,8434.04,10.72,,04-28
61,600033,福建高速,0.05,-9.75,2.64,1.92,0.17,13724.49,-9.76,,04-28
62,600843,上工申贝,0.02,101.08,1.62,1.19,0.04,837.68,101.51,,04-28
63,600567,山鹰纸业,0.01,-66.67,3.95,0.35,0.19,1027.73,-32.98,,04-28
64,600209,*ST罗顿,0.0,-25.0,1.56,0.17,0.04,116.6,-28.74,,04-28
65,600243,青海华鼎,-0.05,41.02,3.27,-1.43,-0.21,-1115.6,41.01,,04-28
66,600265,ST景谷,-0.16,-5433.33,0.99,-15.0,0.02,-2059.45,-5972.42,,04-28
67,600655,豫园股份,0.1,-37.97,3.65,2.74,0.61,14156.44,-37.6,,04-28
68,600319,亚星化学,-0.16,-521.05,2.59,-1.5,0.02,-5095.66,-521.71,,04-28
69,601999,出版传媒,0.03,-57.14,3.0,1.05,-0.11,1734.47,-53.81,,04-28
70,600359,新农开发,-0.08,-233.33,0.95,-8.49,-0.74,-2705.43,-241.85,,04-28
71,600377,宁沪高速,0.12,-4.0,3.73,3.41,0.14,62881.5,-4.26,,04-28
72,600759,洲际油气,-0.01,-176.12,1.66,,0.01,-623.7,-176.29,,04-28
73,600019,宝钢股份,0.07,-61.11,6.15,1.14,0.4,122123.54,-60.22,,04-28
74,600795,国电电力,0.02,-44.12,1.8,1.07,0.19,29350.72,-44.37,,04-28
75,600812,华北制药,-0.02,-366.67,1.09,-2.18,-0.13,-2465.9,-380.27,,04-28
76,600470,六国化工,0.04,-51.22,4.43,0.92,-0.04,2120.15,-20.58,,04-28
77,600155,宝硕股份,-0.04,-566.67,-1.19,,-0.1,-1720.9,-585.99,,04-28
78,600196,复星医药,0.18,38.46,5.24,3.39,0.01,33522.51,32.77,,04-28
79,600250,南纺股份,-0.15,-2080.52,0.53,-25.38,-0.77,-3946.28,-2092.37,,04-28
80,601318,中国平安,0.77,1.32,17.76,4.5,13.82,606400.0,4.3,,04-28
81,600681,百川能源,0.0,-92.86,0.07,0.09,-0.01,1.55,-94.84,,04-28
82,600345,长江通信,0.05,-66.67,5.77,0.92,-0.35,1047.45,-64.09,,04-28
83,600747,*ST大控,-0.03,83.33,0.74,-4.43,-0.05,-3539.6,80.06,,04-28
84,600782,新钢股份,-0.19,-290.0,5.99,-3.07,-0.24,-26029.9,-290.44,,04-28
85,600053,九鼎投资,0.0,350.0,1.8,0.1,0.24,78.83,497.38,,04-28
86,600801,华新水泥,0.01,-98.0,8.3,0.06,0.17,433.4,-95.71,,04-28
87,600121,郑州煤电,0.02,-41.21,3.15,0.61,-0.36,1160.52,-41.09,,04-28
88,600516,方大炭素,0.06,-58.8,2.78,2.02,-0.22,7097.01,-58.82,,04-28
89,600969,郴电国际,0.08,33.33,4.64,1.73,0.37,1678.15,33.09,,04-28
90,600184,光电股份,0.03,-25.0,4.62,0.72,-0.17,696.57,-25.72,,04-28
91,600595,中孚实业,-0.07,-333.33,3.43,-2.16,0.13,-11343.26,-337.53,,04-28
92,601009,南京银行,0.35,34.62,7.63,4.67,0.25,103339.4,31.71,,04-28
93,600237,铜峰电子,0.06,41.75,1.97,3.04,-0.04,2358.66,41.66,,04-28
94,601727,上海电气,0.07,13.35,2.35,3.15,-0.34,93673.7,13.4,,04-28
95,601880,大连港,0.04,0.0,2.89,1.34,,17059.84,8.44,,04-28
96,600720,祁连山,-0.19,-318.42,5.82,-3.12,,-8768.19,-318.08,,04-28
97,600352,浙江龙盛,0.07,-64.83,4.82,1.48,0.07,10234.84,-64.83,,04-28
98,600031,三一重工,0.37,5.13,2.96,13.31,-0.58,280431.42,5.3,,04-28
