,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
0,603225,新凤鸣,,,,,,15881.5,,,09-03
1,603299,井神股份,,,,,,10591.69,,,07-11
2,600903,贵州燃气,,,,,,2926.89,,,05-07
3,601968,宝钢包装,,,,,,8769.37,,,04-23
4,000166,申万宏源,0.15,,,6.04,,103179.01,,,04-09
5,002797,第一创业,,,,,,15493.45,,,03-01
6,002736,国信证券,,,,,,150421.4,,,02-28
7,300388,国祯环保,,,,,,4423.71,17.29,,01-25
8,601997,贵阳银行,0.71,,,,,127960.27,,,12-25
9,300567,精测电子,,,,,,2256.32,,,11-05
10,002703,浙江世宝,0.24,,2.58,9.49,0.07,6270.1,,,11-01
11,000792,盐湖股份,1.15,-37.48,9.64,12.57,0.51,182816.85,-24.45,,10-31
12,000011,深物业A,0.29,-43.02,2.18,14.29,0.99,17464.48,-43.02,,10-31
13,600026,中远海能,-0.12,-149.81,6.73,-3.44,-0.0,-40616.74,-149.82,,10-31
14,600782,新钢股份,-0.55,-350.0,5.6,-9.39,-0.03,-77037.61,-351.34,,10-31
15,600425,*ST青松,0.17,-79.67,7.75,2.91,0.44,9313.14,-76.72,,10-31
16,600818,中路股份,0.03,-40.0,1.28,2.01,-0.05,743.2,-46.36,,10-31
17,600086,东方金钰,0.42,159.7,2.05,22.8,0.35,14803.28,159.71,,10-31
18,600516,方大炭素,0.3,-27.9,3.02,10.33,0.33,37941.92,-27.9,,10-31
19,600871,*ST油服,-0.07,-133.64,2.16,-3.29,-0.08,-29012.9,-133.88,,10-31
20,000525,红太阳,0.43,15737.04,5.83,7.7,0.63,21689.19,15587.51,,10-31
21,600555,海航创新,0.0,-97.56,1.38,0.16,-0.27,286.42,-97.56,,10-31
22,600196,复星医药,0.57,1.79,5.36,10.93,0.22,109322.33,2.41,,10-31
23,600623,华谊集团,0.23,61.11,2.71,8.77,0.08,20598.45,61.13,,10-31
24,000627,天茂集团,-0.05,41.67,1.01,-5.03,0.06,-6907.02,42.71,,10-31
25,600250,南纺股份,-0.3,-1552.63,0.79,-41.5,-0.16,-7853.1,-1555.94,,10-31
26,600643,爱建集团,0.19,58.47,3.69,6.87,-0.62,17700.85,83.19,,10-31
27,600270,外运发展,0.46,24.33,5.51,8.45,-0.04,41639.3,24.31,,10-31
28,600681,百川能源,0.01,-89.51,0.08,14.12,0.01,194.63,-91.88,,10-31
29,600307,酒钢宏兴,0.1,-69.39,2.93,3.34,0.03,41207.08,-69.35,,10-31
30,601800,中国交建,0.44,-1566.67,4.98,8.88,-0.13,691730.85,-14.46,,10-31
31,600345,长江通信,0.35,-4.88,5.87,6.02,-0.26,6944.98,-5.05,,10-31
