,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
0,603609,禾丰牧业,,,,,,1637.74,,,07-18
1,300390,天华超净,,,,,,800.24,,,07-15
2,300384,三联虹普,0.16,,,,,650.14,,,07-15
3,603126,中材节能,,,,,,1745.82,,,07-15
4,300389,艾比森,0.33,,,7.95,,2100.33,,,07-15
5,002728,特一药业,,,,,,2209.33,,,07-15
6,603111,康尼机电,,,,,,-512.32,-117.41,,07-15
7,603100,川仪股份,0.07,,,,,1999.11,,,07-15
8,601579,会稽山,,,,,,5869.03,-0.31,,07-15
9,300391,康跃科技,0.13,,,3.65,,640.55,,,07-15
10,603099,长白山,,,,,,-1161.99,,,07-15
11,300387,富邦股份,0.24,,,,,1171.39,,,06-16
12,603369,今世缘,,,,,,31212.19,,,06-11
13,603168,莎普爱思,,,,,,2282.97,,,06-11
14,603006,联明股份,,,,,,1721.81,,,06-10
15,002727,一心堂,0.34,,,7.87,,6604.5,,,06-10
16,603328,依顿电子,,,,,,7544.42,,,06-10
17,603009,北特科技,,,,,,826.34,,,06-10
18,300386,飞天诚信,,,,,,3289.73,,,06-10
19,002726,龙大肉食,0.29,,,,,4801.9,,,06-10
20,300385,雪浪环境,,,,,,871.71,,,06-10
21,603288,海天味业,0.66,,,12.87,,46896.84,,,04-30
22,600023,浙能电力,0.13,,,3.53,,100101.28,,,04-29
23,002721,金一文化,0.17,,,4.77,,2435.83,,,04-29
24,603308,应流股份,0.1,,,3.11,,3095.9,,,04-29
25,002712,思美传媒,0.03,,,0.44,,189.73,,,04-28
26,002717,岭南股份,0.23,,,5.18,,1751.24,,,04-28
27,002723,金莱特,0.07,,,1.51,,471.44,,,04-28
28,002716,金贵银业,0.26,,,5.01,,4631.89,,,04-28
29,300378,鼎捷软件,-0.2,,,-3.31,-0.58,-1834.92,,,04-28
30,002722,金轮股份,0.08,,,2.7,,858.51,,,04-28
31,002715,登云股份,0.11,,,2.48,,746.63,,,04-28
32,603026,石大胜华,,,,,,4000.0,,,04-28
33,002725,跃岭股份,0.38,,,6.88,,2869.53,,,04-28
34,300369,绿盟科技,-0.4,,,-9.36,-0.88,-3016.84,,,04-26
35,300376,易事特,0.33,,,4.15,-0.63,2564.76,,,04-26
36,300373,扬杰科技,0.29,,,6.85,0.07,2023.77,,,04-25
37,300379,东方通,-0.28,,,-8.34,-0.24,-1253.87,,,04-25
38,002705,新宝股份,0.06,,,1.8,,2146.24,,,04-25
39,002711,欧浦智网,0.23,,,5.17,,2676.57,,,04-25
40,603005,晶方科技,0.17,,,4.97,,3195.32,,,04-25
41,300357,我武生物,0.18,,,8.51,0.09,1611.48,,,04-25
42,300383,光环新网,0.3,,,5.3,0.14,1367.61,,,04-25
43,300363,博腾股份,0.41,,,11.43,0.58,3972.43,,,04-25
44,300377,赢时胜,-0.23,,,-6.76,-0.43,-1035.17,,,04-25
45,002708,光洋股份,0.13,,,2.95,,1343.47,,,04-25
46,300368,汇金股份,0.07,,,1.4,-0.56,362.65,,,04-25
47,300381,溢多利,0.3,,,4.7,-0.04,1165.35,,,04-25
48,002707,众信旅游,0.28,,,6.92,,1439.18,,,04-25
49,002713,东易日盛,-0.64,,,-20.47,,-6447.73,,,04-25
50,300359,全通教育,0.12,,,3.67,0.03,691.33,,,04-25
51,300380,安硕信息,0.05,,,1.6,-0.42,305.83,,,04-25
52,002719,麦趣尔,0.08,,,2.44,,654.32,,,04-24
53,300367,东方网力,0.07,,,1.45,-2.83,385.56,,,04-24
54,300366,创意信息,0.02,,,0.44,-0.93,77.83,,,04-24
55,300371,汇中股份,0.01,,,0.31,-0.29,55.05,,,04-23
56,300360,炬华科技,0.43,,,8.26,-0.79,3258.62,,,04-23
57,002706,良信电器,0.2,,,2.85,,1299.96,,,04-23
58,300358,楚天科技,0.63,,,12.19,0.08,4157.38,,,04-22
59,300382,斯莱克,0.29,,,5.85,0.88,1321.49,,,04-22
60,002718,友邦吊顶,0.08,,,1.73,,352.0,,,04-22
61,300358,楚天科技,0.63,,,12.19,0.08,4157.38,,,04-22
62,603699,纽威股份,0.16,,,9.94,,10880.59,,,04-21
63,300365,恒华科技,0.05,,,1.06,-0.47,189.45,,,04-18
64,002714,牧原股份,0.14,,,2.8,,2914.5,,,04-16
65,300375,鹏翎股份,0.31,,,4.73,0.11,2416.47,,,04-09
66,603225,新凤鸣,,,,,,43.81,,,09-03
67,002797,第一创业,,,,,,4000.0,,,08-08
68,300593,新雷能,,,,,,128.0,-218.52,,08-01
69,603299,井神股份,,,,,,3575.65,,,07-11
70,601228,广州港,,,,,,,,,07-03
71,601225,陕西煤业,,,,,,83710.38,,,06-06
72,002736,国信证券,,,,,,85799.03,,,05-10
