,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
0,603348,文灿股份,0.94,-2.08,6.08,16.59,1.95,15470.04,2.76,10派2,04-04
1,603733,仙鹤股份,0.45,45.16,,13.45,0.09,21230.48,53.9,,03-28
2,603876,鼎胜新材,0.91,82.0,,17.16,-1.13,33390.04,107.03,,03-27
3,603301,振德医疗,1.11,-31.48,,21.88,1.86,8284.16,4.78,,03-21
4,603897,长城科技,0.89,102.27,,21.03,0.39,11384.7,117.39,,03-19
5,002931,锋龙股份,0.72,-14.29,2.61,32.01,1.01,4255.55,12.63,,03-13
6,603214,爱婴室,0.99,25.32,4.02,25.78,1.61,7398.96,24.1,,03-13
7,300504,天邑股份,0.78,25.81,8.32,30.45,1.55,15196.08,26.21,,03-13
8,300634,彩讯股份,0.3,20.0,2.04,13.63,0.61,9109.4,32.68,,03-06
9,600929,湖南盐业,0.18,-31.96,,8.61,0.41,13859.31,-31.95,,03-05
10,002930,宏川智慧,0.46,-14.81,6.03,8.06,1.37,8396.85,4.79,,03-05
11,603059,倍加洁,1.13,32.94,,30.89,1.32,6781.81,33.01,,02-07
12,002928,华夏航空,0.96,-68.21,2.21,55.56,2.11,34576.95,43.04,,02-06
13,300741,华宝股份,2.46,,8.06,22.61,2.07,126337.31,-4.77,,02-05
14,002929,润建通信,1.1,4.76,,26.88,-0.47,17881.52,23.23,,02-05
15,603680,今创集团,1.7,-4.29,,30.8,0.41,64373.89,-4.29,,01-31
16,002927,泰永长征,0.9,13.92,,22.19,0.51,6334.93,18.56,,01-30
17,603712,七一二,0.24,,2.17,11.2,0.11,15882.06,-12.02,,01-30
18,603709,中源家居,1.22,11.93,2.15,69.28,1.8,7322.09,23.86,,01-25
19,300644,南京聚隆,1.68,-2.31,8.25,22.67,0.83,7866.02,4.71,,01-24
20,603871,嘉友国际,2.43,42.27,6.12,41.55,3.06,14576.68,42.27,,01-23
21,300740,御家汇,0.62,,3.09,27.59,-0.61,7377.08,38.8,,01-22
22,603156,养元饮品,5.54,4.61,,46.73,4.85,274069.42,4.61,,01-22
23,603516,淳中科技,1.17,50.0,3.44,42.86,0.5,8133.99,68.82,10派5.8,01-15
24,300739,明阳电路,1.41,,4.79,33.1,1.4,12313.42,106.61,,01-15
25,603895,天永智能,1.09,,,31.84,-1.0,6309.16,4.33,,01-08
26,300738,奥飞数据,1.17,74.63,4.24,35.4,0.65,5556.97,107.33,,01-08
27,300737,科顺股份,0.63,43.18,2.75,31.47,0.27,26444.63,60.37,10派0.7,01-08
28,603356,华菱精工,0.64,25.49,2.86,23.73,0.07,6391.45,24.87,,01-03
29,300736,百华悦邦,1.16,17.17,4.81,26.28,1.92,4725.02,17.9,10派8,12-26
30,002925,盈趣科技,1.17,172.09,,72.25,1.5,44547.57,170.33,,12-26
31,300664,鹏鹞环保,0.66,49.66,,14.04,1.34,26285.96,49.8,,12-18
32,002923,润都股份,1.17,23.16,5.31,24.68,1.25,8746.58,22.9,,12-18
33,002921,联诚精密,0.79,9.72,,11.76,1.35,4745.96,9.7,,12-13
34,002922,伊戈尔,0.72,-49.3,4.44,16.52,0.76,7162.94,-43.46,,12-12
35,603329,上海雅仕,0.66,-13.16,,18.4,0.4,6484.65,-14.32,,12-12
36,603080,新疆火炬,1.12,10.89,4.19,30.8,0.81,11850.95,20.18,,12-12
37,300735,光弘科技,0.61,52.5,2.3,31.52,0.55,15419.47,62.01,,12-11
38,603655,朗博科技,0.38,-28.3,3.58,11.18,0.24,3018.19,-11.6,,12-11
39,300733,西菱动力,0.77,48.08,4.3,19.76,0.78,9275.61,47.31,,12-06
40,300684,中石科技,0.57,9.42,5.09,11.66,0.69,3687.04,9.43,,12-06
41,002920,德赛西威,1.31,63.75,,55.63,1.24,59028.07,64.48,,12-05
42,603283,赛腾股份,0.4,-62.26,2.68,16.35,0.26,4804.87,-62.18,,12-05
43,002919,名臣健康,0.78,2.63,4.71,18.04,1.39,4740.9,8.96,,11-29
44,002918,蒙娜丽莎,1.97,89.42,,34.51,1.93,23299.79,101.31,,11-29
45,603477,振静股份,0.32,39.13,,14.55,-0.1,5829.37,46.76,,11-28
46,300732,设研院,2.4,126.42,11.77,22.52,1.57,12971.86,159.71,,11-28
47,603161,科华控股,1.0,14.94,5.66,19.51,0.51,10033.86,23.84,10派1.5,11-27
48,603890,春秋电子,1.54,60.42,4.17,45.84,1.19,14672.6,68.47,,11-21
49,002917,金奥博,0.99,,2.95,32.97,0.24,6177.36,-14.83,,11-21
50,300731,科创新源,0.83,40.68,2.95,31.46,0.59,5404.65,52.85,,11-20
51,300730,科创信息,0.54,10.2,2.54,23.13,0.01,3749.08,9.18,,11-14
52,002915,中欣氟材,0.39,-30.36,3.27,12.67,0.61,3276.47,-10.35,,11-14
53,603917,合力科技,0.93,6.14,4.79,21.25,1.03,7835.97,6.14,,11-14
54,300729,乐歌股份,0.95,11.76,5.22,20.09,0.6,6008.43,18.14,,11-13
55,002913,奥士康,1.76,8.64,,27.37,1.42,19033.16,17.67,,11-13
56,603848,好太太,0.42,,1.7,28.42,0.39,15197.66,13.96,,11-13
57,603711,香飘飘,0.74,29.82,3.51,23.53,1.02,26610.21,30.48,,11-13
58,300727,润禾材料,0.51,4.08,3.34,17.18,0.39,3628.65,8.32,,11-07
59,002912,中新赛克,2.01,8.06,11.68,18.41,2.09,10056.28,13.96,,11-07
60,603685,晨丰科技,1.23,23.0,4.54,31.41,0.37,9250.52,57.54,,11-06
61,603661,恒林股份,3.52,39.13,,51.14,3.26,26376.22,39.01,,10-31
62,300726,宏达电子,0.55,133.26,2.24,28.11,0.15,19630.15,161.89,,10-31
63,603365,水星家纺,0.99,23.75,,24.36,1.33,19770.13,46.68,,10-31
64,603506,南都物业,1.13,-7.38,,38.93,1.06,6296.48,15.98,,10-31
65,002911,佛燃股份,0.67,-9.46,3.34,21.42,1.04,33714.42,-8.68,,10-31
66,603076,乐惠国际,1.37,7.03,6.72,22.77,2.44,7667.78,19.06,,10-30
67,603970,中农立华,0.82,-7.42,3.45,25.48,1.52,8171.71,-7.42,,10-30
68,300725,药石科技,0.69,50.0,4.46,21.18,0.41,3611.52,81.17,,10-30
69,300723,一品红,1.14,128.0,2.78,51.92,1.22,13734.95,127.32,,10-30
70,600933,爱柯迪,0.69,30.19,,29.96,0.78,48297.14,38.99,10派2.5,10-30
71,601019,山东出版,0.58,7.41,2.8,22.14,0.64,104729.57,6.41,,10-30
72,300722,新余国科,0.57,-10.94,3.57,17.52,0.14,3423.45,25.34,,10-27
73,603605,珀莱雅,1.02,6.25,,31.76,0.89,15362.3,6.87,,10-25
74,002864,盘龙药业,0.61,-7.58,,12.83,0.95,3952.77,-7.3,,10-25
75,300721,怡达股份,1.03,-10.48,8.15,13.72,0.68,5953.07,3.4,,10-24
76,300720,海川智能,0.7,18.64,4.17,17.95,0.65,3788.22,19.02,,10-24
77,300717,华信新材,0.88,0.0,5.47,17.12,1.14,4219.18,-0.21,,10-24
78,603083,剑桥科技,0.9,-49.72,9.19,11.13,0.47,6631.8,-46.01,,10-23
79,603916,苏博特,0.58,-27.5,4.87,12.54,0.68,13293.65,-22.42,,10-23
80,603278,大业股份,0.92,95.74,3.75,27.86,1.08,14300.19,97.1,,10-23
81,300719,安达维尔,0.73,,3.17,27.04,0.91,9118.39,69.77,,10-19
82,300716,国立科技,0.77,11.59,5.61,14.89,1.18,5976.74,28.52,,10-18
83,603809,豪能股份,1.58,18.45,9.77,17.58,1.71,12627.44,18.46,,10-18
84,603507,振江股份,1.54,102.51,5.56,32.06,0.74,14464.11,158.89,,10-17
85,002916,深南电路,1.31,70.13,7.52,18.48,3.82,27416.42,69.56,,10-17
86,603856,东宏股份,0.66,-2.94,,12.39,1.1,9770.76,-2.4,,10-16
87,300718,长盛轴承,1.08,-8.47,6.64,17.4,1.49,8074.67,-9.06,,10-16
88,603937,丽岛新材,0.56,55.56,,13.42,-0.02,8791.46,55.56,,10-12
89,603912,佳力图,0.54,5.88,2.49,24.2,0.71,5844.82,14.54,,10-12
90,300713,英可瑞,2.3,60.84,5.69,50.68,0.26,9769.28,61.26,,10-11
91,300712,永福股份,0.7,22.81,3.99,19.15,0.69,7329.95,26.82,,10-11
92,300711,广哈通信,0.5,6.38,2.41,23.03,0.43,5369.24,14.99,,10-11
93,603289,泰瑞机器,0.48,37.14,3.01,17.28,0.72,7363.89,37.67,,10-10
94,300715,凯伦股份,0.75,36.36,2.83,30.32,0.01,4023.7,41.06,10派1.5,10-10
95,002910,庄园牧场,0.54,-16.92,,11.0,1.24,7591.06,3.64,,10-10
96,002909,集泰股份,0.47,-12.96,2.76,16.41,0.62,4269.32,-12.79,,09-28
97,603607,京华激光,0.99,,4.29,25.94,1.37,6710.43,19.01,,09-28
98,300710,万隆光电,0.88,12.12,5.77,16.5,-0.06,4500.31,15.33,,09-27
99,603722,阿科力,0.71,-18.39,3.96,19.6,0.64,4598.86,-18.88,,09-27
100,603396,金辰股份,1.15,1.17,7.39,16.98,-0.13,6539.17,1.16,,09-27
101,002907,华森制药,0.27,29.64,1.28,23.14,0.16,9570.77,29.62,,09-26
102,603466,风语筑,1.04,48.57,5.31,21.76,1.07,11259.85,71.26,,09-25
103,002908,德生科技,0.49,-46.54,3.53,14.16,-0.3,4873.31,-46.54,,09-25
104,603683,晶华新材,0.54,2.59,,11.66,0.44,5155.93,11.4,,09-25
