,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
0,603299,井神股份,0.17,,,5.84,,8134.72,,,12-16
1,603223,恒通股份,0.28,,,11.73,,2551.36,,,06-10
2,600903,贵州燃气,,,,,,3432.0,,,05-07
3,601968,宝钢包装,0.09,,,,,5601.16,,,04-23
4,300505,川金诺,0.49,,,,,3454.13,,,04-19
5,601881,中国银河,0.14,,,5.27,,86575.4,,,04-08
6,600958,东方证券,0.13,,,,,55160.12,-15.77,,01-21
7,600977,中国电影,,,,,,37838.0,,,01-16
8,300567,精测电子,,,,,,832.07,,,11-05
9,601579,会稽山,0.24,,2.63,9.51,,7298.16,,,10-23
10,603166,福达股份,0.19,,1.55,12.84,-0.06,7276.03,,,10-23
11,603767,中马传动,,,,,,4239.38,,,10-16
12,002703,浙江世宝,0.19,,2.6,7.53,0.07,4985.02,,,09-28
13,603168,莎普爱思,0.82,,4.57,18.43,0.29,4037.68,,,09-28
14,002702,海欣食品,0.53,,5.17,10.67,0.84,2808.1,,,09-17
15,002701,奥瑞金,0.9,,5.24,18.79,1.35,20646.42,,,09-12
16,300356,光一科技,0.51,,4.06,13.39,-0.1,3312.93,,,09-11
17,601326,秦港股份,0.17,,,8.55,0.2,71421.66,,,09-06
18,601016,节能风电,0.11,,,6.7,0.2,17105.13,,,09-06
19,002782,可立克,0.26,,2.54,10.87,0.17,3345.0,,,09-03
20,601186,中国铁建,0.26,-10.34,5.39,4.86,-0.27,318843.6,-12.39,,08-31
21,600690,青岛海尔,0.69,21.05,3.63,20.49,1.26,185228.98,21.3,,08-31
22,601669,中国电建,0.21,-23.93,3.02,7.13,-0.18,201443.16,10.66,,08-31
23,600317,营口港,0.13,8.33,4.13,3.22,0.34,14544.08,9.94,,08-31
24,600775,南京熊猫,0.08,47.41,2.45,3.25,-0.15,5217.04,47.56,,08-31
25,600037,歌华有线,0.12,3.5,5.03,2.34,0.28,12528.5,3.42,,08-31
26,600827,百联股份,0.47,-5.81,6.79,7.08,0.03,81182.62,244.62,,08-31
